date,open,high,low,close,Volume BTC
2021-01-01 00:00:00+00:00,28999.63,29099.0,28774.64,29056.94,397.96477532
2021-01-01 01:00:00+00:00,29070.66,29543.93,29010.36,29479.12,648.59765202
2021-01-01 02:00:00+00:00,29484.39,29535.95,29189.34,29249.33,290.24263681
2021-01-01 03:00:00+00:00,29249.33,29414.48,29216.61,29345.63,284.14656757
2021-01-01 04:00:00+00:00,29351.85,29458.27,29121.8,29290.38,325.56570012
2021-01-01 05:00:00+00:00,29294.58,29300.15,29158.86,29242.1,293.43422916
2021-01-01 06:00:00+00:00,29242.1,29317.56,29156.48,29245.54,289.68695888
2021-01-01 07:00:00+00:00,29245.54,29253.61,28896.66,29173.17,403.49055764
2021-01-01 08:00:00+00:00,29179.01,29247.4,28947.7,29077.2,305.29762692
2021-01-01 09:00:00+00:00,29060.43,29390.85,29039.59,29282.62,306.83039588
2021-01-01 10:00:00+00:00,29282.62,29405.51,29234.25,29318.16,325.75112485
2021-01-01 11:00:00+00:00,29322.94,29490.0,29297.92,29390.34,264.25946444
2021-01-01 12:00:00+00:00,29390.34,29700.0,29233.4,29313.77,532.84678104
2021-01-01 13:00:00+00:00,29303.33,29555.16,29286.27,29538.92,311.65438227
2021-01-01 14:00:00+00:00,29550.0,29614.88,29339.22,29397.69,510.63620693
2021-01-01 15:00:00+00:00,29388.85,29460.17,29100.0,29261.96,426.77088054
2021-01-01 16:00:00+00:00,29261.96,29436.33,29175.01,29376.86,266.51631883
2021-01-01 17:00:00+00:00,29370.62,29419.98,29000.0,29162.36,408.85181263
2021-01-01 18:00:00+00:00,29162.36,29327.54,28720.0,29130.21,617.59322673
2021-01-01 19:00:00+00:00,29131.88,29213.05,29022.0,29131.54,452.95951406
2021-01-01 20:00:00+00:00,29108.67,29367.31,28947.7,29294.9,491.37323537
2021-01-01 21:00:00+00:00,29294.9,29385.21,29228.97,29247.92,266.87358263
2021-01-01 22:00:00+00:00,29255.87,29406.0,29197.08,29355.57,163.14633766
2021-01-01 23:00:00+00:00,29352.5,29434.27,29311.32,29402.64,196.97558626
2021-01-02 00:00:00+00:00,29410.77,29417.23,29050.0,29262.46,379.45668432
2021-01-02 01:00:00+00:00,29269.07,29495.22,29184.5,29446.93,318.81690957
2021-01-02 02:00:00+00:00,29451.97,29574.11,29400.0,29409.25,249.86206237
2021-01-02 03:00:00+00:00,29409.25,29464.96,29343.69,29432.47,147.06023681
2021-01-02 04:00:00+00:00,29435.0,29495.18,29310.5,29443.3,297.53924263
2021-01-02 05:00:00+00:00,29449.26,29686.0,29443.3,29676.2,299.31176939
2021-01-02 06:00:00+00:00,29686.0,29825.0,29571.57,29790.49,336.18854605
2021-01-02 07:00:00+00:00,29795.09,29895.0,29721.78,29834.26,351.40386901
2021-01-02 08:00:00+00:00,29829.59,29928.0,29721.62,29913.72,352.10788706
2021-01-02 09:00:00+00:00,29912.43,29990.0,29654.0,29688.04,351.19802211
2021-01-02 10:00:00+00:00,29666.79,29898.5,29543.93,29748.67,356.46706603
2021-01-02 11:00:00+00:00,29738.61,29849.38,29689.08,29822.42,282.58287671
2021-01-02 12:00:00+00:00,29822.42,30958.06,29800.0,30668.76,1541.89780801
2021-01-02 13:00:00+00:00,30663.43,31550.0,30552.86,31550.0,1208.8648617
2021-01-02 14:00:00+00:00,31550.0,31584.31,31144.78,31344.73,891.23828237
2021-01-02 15:00:00+00:00,31323.49,31886.42,30750.0,31782.96,964.87919661
2021-01-02 16:00:00+00:00,31758.0,33099.24,31757.37,32531.17,1957.61585701
2021-01-02 17:00:00+00:00,32530.13,33022.44,32450.0,32914.41,650.38285425
2021-01-02 18:00:00+00:00,32909.86,33333.0,32511.62,33026.28,935.90467643
2021-01-02 19:00:00+00:00,33032.97,33268.37,32714.46,33080.5,699.99489592
2021-01-02 20:00:00+00:00,33082.29,33112.26,30000.0,30682.47,2448.24860432
2021-01-02 21:00:00+00:00,30674.72,31939.12,30228.73,31700.0,1760.08163859
2021-01-02 22:00:00+00:00,31700.0,32300.0,31452.94,32185.44,640.4022543
2021-01-02 23:00:00+00:00,32179.06,32260.79,31634.16,32216.53,446.37279693
2021-01-03 00:00:00+00:00,32216.51,32518.88,31977.45,32485.72,338.79446501
2021-01-03 01:00:00+00:00,32450.3,32832.27,32259.86,32595.32,296.32478244
2021-01-03 02:00:00+00:00,32621.73,32911.22,32585.34,32746.89,168.78170609
2021-01-03 03:00:00+00:00,32784.01,32789.67,32479.91,32611.55,179.16360559
2021-01-03 04:00:00+00:00,32612.19,33268.37,32479.91,33213.84,285.22007213
2021-01-03 05:00:00+00:00,33204.02,34182.0,33129.58,33725.07,1140.42843873
2021-01-03 06:00:00+00:00,33774.91,34116.76,33660.3,33992.16,579.22736652
2021-01-03 07:00:00+00:00,33978.02,34800.0,33779.72,34484.5,853.12819476
2021-01-03 08:00:00+00:00,34495.37,34652.95,33761.69,34380.28,551.69137174
2021-01-03 09:00:00+00:00,34386.79,34604.11,33831.66,34204.21,548.4213406
2021-01-03 10:00:00+00:00,34207.66,34378.7,33428.35,33907.43,626.10354299
2021-01-03 11:00:00+00:00,33884.04,34466.72,33807.11,34447.28,399.57018317
2021-01-03 12:00:00+00:00,34425.03,34622.67,33985.0,34144.71,343.04736938
2021-01-03 13:00:00+00:00,34121.88,34404.49,33834.0,33913.32,449.44038517
2021-01-03 14:00:00+00:00,33915.31,34192.68,33534.39,33924.68,582.88452658
2021-01-03 15:00:00+00:00,33894.5,33950.0,32793.03,33557.89,1087.86237427
2021-01-03 16:00:00+00:00,33549.05,33855.83,32000.0,32399.99,1675.03099756
2021-01-03 17:00:00+00:00,32399.99,33243.81,32327.76,32892.39,1190.98099522
2021-01-03 18:00:00+00:00,32938.22,33036.19,32252.26,32759.78,661.84415041
2021-01-03 19:00:00+00:00,32758.87,32905.1,32450.0,32775.76,391.0280509
2021-01-03 20:00:00+00:00,32744.07,33850.0,32723.66,33722.25,688.38163285
2021-01-03 21:00:00+00:00,33743.84,33872.26,33548.84,33585.4,218.15162546
2021-01-03 22:00:00+00:00,33576.44,33687.71,33029.84,33163.95,438.63894013
2021-01-03 23:00:00+00:00,33144.24,33629.4,32720.53,33097.83,466.4351624
2021-01-04 00:00:00+00:00,33068.83,33148.89,32450.97,32895.35,628.05992554
2021-01-04 01:00:00+00:00,32891.23,33360.89,32640.34,33239.84,277.20300824
2021-01-04 02:00:00+00:00,33217.79,33629.4,33011.39,33502.96,218.88712685
2021-01-04 03:00:00+00:00,33524.7,33593.25,33228.64,33593.17,217.74600577
2021-01-04 04:00:00+00:00,33590.85,33669.76,33249.25,33331.88,200.63210353
2021-01-04 05:00:00+00:00,33336.76,33390.8,32884.2,32884.55,220.57288385
2021-01-04 06:00:00+00:00,32910.35,33468.46,32889.66,33280.06,489.60330102
2021-01-04 07:00:00+00:00,33279.41,33300.0,31748.18,32092.71,1615.56246187
2021-01-04 08:00:00+00:00,32111.77,32557.9,31407.34,32044.41,897.35228788
2021-01-04 09:00:00+00:00,32026.23,32100.0,30261.13,31000.0,2224.62604506
2021-01-04 10:00:00+00:00,31009.39,31182.16,27734.0,30270.0,4537.35446155
2021-01-04 11:00:00+00:00,30286.76,30921.48,29402.55,30796.34,1798.27415862
2021-01-04 12:00:00+00:00,30796.48,31463.0,30461.85,31268.33,1269.36053661
2021-01-04 13:00:00+00:00,31243.73,31433.0,30600.5,31433.0,1059.27552163
2021-01-04 14:00:00+00:00,31433.0,32169.78,31433.0,32144.43,1054.57030768
2021-01-04 15:00:00+00:00,32147.25,32246.97,31581.04,31792.05,940.93988645
2021-01-04 16:00:00+00:00,31785.85,31939.12,30700.0,31298.75,1339.64901738
2021-01-04 17:00:00+00:00,31340.03,31527.44,30600.01,31004.54,854.59095484
2021-01-04 18:00:00+00:00,31016.44,31448.0,31000.58,31172.41,468.17402769
2021-01-04 19:00:00+00:00,31179.5,31887.58,31118.69,31678.62,542.45608235
2021-01-04 20:00:00+00:00,31686.83,31862.61,31219.68,31259.37,486.20935905
2021-01-04 21:00:00+00:00,31285.8,31596.24,30884.42,31025.39,354.786069
2021-01-04 22:00:00+00:00,31047.62,31490.0,30974.37,31360.23,238.90673427
2021-01-04 23:00:00+00:00,31379.44,32054.24,31168.98,32005.88,512.14773875
2021-01-05 00:00:00+00:00,32054.23,32874.39,32047.68,32489.99,761.31637145
2021-01-05 01:00:00+00:00,32468.92,32825.0,32285.73,32811.75,340.32584597
2021-01-05 02:00:00+00:00,32824.75,32850.0,32281.89,32346.97,339.38564041
2021-01-05 03:00:00+00:00,32361.51,32578.35,31182.16,31183.83,745.5984088
2021-01-05 04:00:00+00:00,31188.58,31558.37,30450.0,30882.16,890.51140252
2021-01-05 05:00:00+00:00,30866.09,31369.7,30044.16,30428.92,819.20622358
2021-01-05 06:00:00+00:00,30456.11,31294.55,29936.26,31140.41,807.63848267
2021-01-05 07:00:00+00:00,31158.09,31332.1,30773.5,30838.53,454.30048122
